,solute,solute SMILES,computed CAS,computed IUPAC,solvent,solvent SMILES,pka,ref
1465,(4-H-C6F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=CC(=C1F)F)F)F,55852-22-7,"ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate",MeCN,CC#N,18.08,leito_acids
478,(4-NC5F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=NC(=C1F)F)F)F,55810-61-2,"ethyl 2-cyano-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetate",MeCN,CC#N,14.9,a_unified_view_to_bronsted_acidity_scales.pdf
515,(4-NC5F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=NC(=C1F)F)F)F,55810-61-2,"ethyl 2-cyano-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetate",DMSO,CS(=O)C,3.2,a_unified_view_to_bronsted_acidity_scales.pdf
1479,(4-NC5F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=NC(=C1F)F)F)F,55810-61-2,"ethyl 2-cyano-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetate",MeCN,CC#N,14.9,leito_acids
1581,(4-NC5F4)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C(=NC(=C1F)F)F)F,55810-61-2,"ethyl 2-cyano-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetate",DCE,C(CCl)Cl,49.4,leito_acids
475,(2-C10F7)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",MeCN,CC#N,17.5,a_unified_view_to_bronsted_acidity_scales.pdf
1470,(2-C10F7)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",MeCN,CC#N,17.5,leito_acids
1577,(2-C10F7)CH(CN)COOEt,CCOC(=O)C(C#N)C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F,62325-34-2,"ethyl 2-cyano-2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)acetate",DCE,C(CCl)Cl,52,leito_acids
9,55810-56-5,CCOC(=O)C(C#N)C1=C(F)C(=C(Cl)C(=C1F)F)F,55810-56-5,"ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",MeCN,CC#N,17.39,MeCN_Acids_COSMO-RS_2008_Table.pdf
854,55810-56-5,CCOC(=O)C(C#N)C1=C(F)C(=C(Cl)C(=C1F)F)F,55810-56-5,"ethyl 2-(4-chloro-2,3,5,6-tetrafluorophenyl)-2-cyanoacetate",MeCN,CC#N,17.38,Ejoc202001649-sup-00001-misc_information.pdf
12,55852-22-7,CCOC(=O)C(C#N)C1=C(F)C(=CC(=C1F)F)F,55852-22-7,"ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate",MeCN,CC#N,18.08,MeCN_Acids_COSMO-RS_2008_Table.pdf
848,55852-22-7,CCOC(=O)C(C#N)C1=C(F)C(=CC(=C1F)F)F,55852-22-7,"ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate",MeCN,CC#N,18.07,Ejoc202001649-sup-00001-misc_information.pdf
1071,55852-22-7,CCOC(=O)C(C#N)C1=C(F)C(=CC(=C1F)F)F,55852-22-7,"ethyl 2-cyano-2-(2,3,5,6-tetrafluorophenyl)acetate",DMSO,CS(=O)C,4.9,Ejoc202001649-sup-00001-misc_information.pdf
10,55810-61-2,CCOC(=O)C(C#N)C1=C(F)C(=NC(=C1F)F)F,55810-61-2,ethyl 2-cyano-2-(perfluoropyridin-4-yl)acetate,MeCN,CC#N,14.9,MeCN_Acids_COSMO-RS_2008_Table.pdf
868,55810-61-2,CCOC(=O)C(C#N)C1=C(F)C(=NC(=C1F)F)F,55810-61-2,ethyl 2-cyano-2-(perfluoropyridin-4-yl)acetate,MeCN,CC#N,14.89,Ejoc202001649-sup-00001-misc_information.pdf
1082,55810-61-2,CCOC(=O)C(C#N)C1=C(F)C(=NC(=C1F)F)F,55810-61-2,ethyl 2-cyano-2-(perfluoropyridin-4-yl)acetate,DMSO,CS(=O)C,3.2,Ejoc202001649-sup-00001-misc_information.pdf
