,name,smiles,cas,iupac,new smiles
19,(4-Me-C6F4)2CHCN,CC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(C)C(=C2F)F)F)C(=C1F)F)F,58432-44-3,-,no matches
20,all-trans retinoic acid,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1,302-79-4 ,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
21,(F3C)2(F5C6)COH,OC(C1=C(F)C(=C(F)C(=C1F)F)F)(C(F)(F)F)C(F)(F)F,13732-52-0,"1,1,1,3,3,3-hexafluoro-2-(2,3,4,5,6-pentafluorophenyl)propan-2-ol",C1(=C(C(=C(C(=C1F)F)F)F)F)C(C(F)(F)F)(C(F)(F)F)O
22,C12F15COH,OC1(C2=C(F)C(=C(F)C(=C2F)F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,217825-01-9,"2,2,3,3,4,4,5,5,6,6-decafluoro-1-(2,3,4,5,6-pentafluorophenyl)cyclohexan-1-ol",C1(=C(C(=C(C(=C1F)F)F)F)F)C2(C(C(C(C(C2(F)F)(F)F)(F)F)(F)F)(F)F)O
23,(4-Me-C6F4)(C6F5)CHCN,CC1=C(F)C(=C([C@@H](C#N)C2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,52345-34-3,-,no matches
24,Benzoic acid,OC(=O)C1=CC=CC=C1,65-85-0,benzoic acid,C1=CC=C(C=C1)C(=O)O
25,9-CN-fluorene,N#CC1C2=C(C=CC=C2)C3=C1C=CC=C3,1529-40-4,9H-fluorene-9-carbonitrile,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C#N
26,(4-H-C6F4)(C6F5)CHCN,FC1=C(F)C(=C(F)C(=C1)F)C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F,42254-09-1,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluorophenyl)acetonitrile",C1=C(C(=C(C(=C1F)F)C(C#N)C2=C(C(=C(C(=C2F)F)F)F)F)F)F
27,(C6F5)2CHCN,FC1=C(F)C(=C(C(C#N)C2=C(F)C(=C(F)C(=C2F)F)F)C(=C1F)F)F,42238-34-6,"2,2-bis(2,3,4,5,6-pentafluorophenyl)acetonitrile",C(#N)C(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F
28,(CF3)3COH,OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1/2/78,"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-ol",C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O
