Name Type,CAS,Formula,MeCN,Water,DMSO,DCE,DMF
"2,4,6-(SO2OCH2CF3)3-Phenol",1263293-53-3,C12H9F9O10S3,7.94,,,,
1-C10H7-SO3H,85-47-2,C10H8O3S,7.9,,,,
3-NO2-C6H4-SO2-NH-SO2-C6H3-3-NO2-4-Cl,34350-21-5,C12H8ClN3O8S2,7.84,,,,
4-NO2-C6H4-SO2-NH-SO2-C6H3-3-NO2-4-Cl,2226486-82-2,C12H8ClN3O8S2,7.82,,,40.7,
C6H5-CHTf2,40906-82-9,C9H6F6O4S2,7.73,,2,,
H2SO4,7664-93-9,H2SO4,7.6,,,42.8,
C6F5-SO2-NH-SO2-C6H4-4-Cl,1171188-85-4,C12H5ClF5NO4S2,7.55,,,,
(4-Cl-3-NO2-C6H3-SO2)2NH,64646-01-1,C12H7Cl2N3O8S2,7.47,,,40.4,
Me-TCNPD,120879-67-6,C10H6N4,7.36,,,,
4-Cl-C6H4-SO3H,98-66-8,C6H5ClO3S,7,,,,
[4-MeO-C6H4][CF3]-NTPA-[H8],1071853-99-0,C35H33F3NO7PS,6.83,,,,
[Ph][C8F17]-NTPA-[H8],1261302-68-4,C40H29F17NO5PS,6.69,,,,
[Ph][CF3]-NTPA-[H8],1261302-62-8,C33H29F3NO5PS,6.68,,,,
C6F5-SO2-NH-SO2-C6H4-3-NO2,1171188-92-3,C12H5F5N2O6S2,6.68,,,,
[Ph][C4F9]-NTPA-[H8],1261302-67-3,C36H29F9NO5PS,6.65,,,,
C6F5-SO2-NH-SO2-C6H4-4-NO2,1171188-93-4,C12H5F5N2O6S2,6.6,,,,
3-NO2-C6H4-SO3H,98-47-5,C6H5NO5S,6.4,,,,
[4-MeO-C6H4][CF3]-NTPA,1486486-92-3,C35H25F3NO7PS,6.35,,,,
[Ph][CF3]-NTPA,1010799-98-0,C33H21F3NO5PS,6.33,,,,
4-NO2-C6H4-SO3H,138-42-1,C6H5NO5S,6.3,,,,
[4-F-C6H4][CF3]-NTPA-[H8],1431711-91-9,C33H27F5NO5PS,6.22,,,,
3-NO2-C6H4-SO2-CH(CN)2,46764-49-2,C9H5N3O4S,6.16,,,,
C6F5-SO2-NH-SO2-C6H3-3-NO2-4Cl,1171188-96-7,C12H4ClF5N2O6S2,6.16,,,,
4-MeO-C6H4-C(=NTf)-NH-Tf,500721-87-9,C10H8F6N2O5S2,6.05,,,,
4-NO2-C6H4-SO2-CH(CN)2,1207878-53-2,C9H5N3O4S,6.01,,,39.9,
Tos-NH-Tf,215395-07-6,C8H8F3NO4S2,5.82,,,,
4-Me-C6H4-C(=NTf)-NH-Tf,500721-89-1,C10H8F6N2O4S2,5.82,,,,
C6H5-C(=NTf)-NH-Tf,500721-91-5,C9H6F6N2O4S2,5.68,,,,
H-TCNPD,2306317-72-4,C9H4N4,5.64,,,,
C6H5-SO2-NH-Tf,174788-87-5,C7H6F3NO4S2,5.52,,,,
HBr,10035-10-6,BrH,5.4,-8.8,-6.8,40.6,
4-F-C6H4-C(=NTf)-NH-Tf,500721-93-7,C9H5F7N2O4S2,5.29,,,,
"2,4,6-(SO2F)3-Phenol",882492-01-5,C6H3F3O7S3,5.22,,,39,
4-Cl-C6H4-C(=NTf)-NH-Tf,500721-95-9,C9H5ClF6N2O4S2,5.2,,,,
(C6F5-SO2)2NH,1535-93-9,C12HF10NO4S2,5.08,,,,
CH(CN)3,454-50-2,C4HN3,5,-5.1,,38.6,
4-Cl-C6H4-SO2-NH-Tf,174788-89-7,C7H5ClF3NO4S2,4.98,,,,
"[3,5-(CF3)2-C6H3]-JINGLE",1486486-93-4,C36H17F12NO6S2,4.97,,,,
4-Cl-C6H4-SO(=NTf)-NH-Tos,174788-93-3,C14H12ClF3N2O5S3,4.78,,,38,
4-NO2-C6H4-C(=NTf)-NH-Tf,500721-97-1,C9H5F6N3O6S2,4.63,,,,
"2,4,6-Tf3-Phenol",71571-37-4,C9H3F9O7S3,4.44,-2,,38.4,
(CN)2C=C(CN)OH,27062-39-1,C5HN3O,4.36,,,36.3,
4-NO2-C6H4-SO2-NH-Tf,174788-91-1,C7H5F3N2O6S2,4.04,,,37.1,
4-Cl-C6H4-SO(=NTf)-NH-SO2-C6H4-4-Cl,174788-95-5,C13H9Cl2F3N2O5S3,4,,,37.1,
"2,4-(NO2)2-C6H3-SO3H",89-02-1,C6H4N2O7S,3.96,,,36,
"2,3,5-Tricyanocyclopentadiene",215395-09-8,C8H3N3,3.65,,,38,
4-Cl-C6H4-SO(=NTf)-NH-SO2-C6H4-4-NO2,174788-97-7,C13H9ClF3N3O7S3,3.3,,,35.9,
HI,10034-85-2,HI,2.8,-9.5,-10.9,37.7,
