,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
209,CC(=NO)C(C)(C)CCCCC[NH3+],0,0,0,9.12,['9.12'],0
210,CC(=NO)C(C)(C)CCC[NH3+],0,0,0,9.14,['9.14'],0
211,CC(=NO)C(C)(C)[N+](=O)[O-],0,0,0,10.66,['10.66'],0
212,CSC(C)(C)C(C)=NO,0,0,0,11.72,['11.72'],0
213,CC(=NO)C(Cl)Cl,0,0,0,11.14,['11.14'],0
214,CC(CSC(C)(C)C)=NO,0,0,0,11.95,['11.95'],0
215,C=CCSCC(C)=NO,0,0,0,11.72,['11.72'],0
216,CC(=[NH+]O)N1CCCCC1,0,0,0,14.30,['14.30'],0
217,CC(=[NH+]O)N1CCOCC1,0,0,0,13.99,['13.99'],0
218,CC(=NO)S(C)(=O)=O,0,0,0,8.73,['8.73'],0
219,CC(=NO)SCC(=O)N(C)C,0,0,0,11.27,['11.27'],0
220,CC(=NO)SCC(=O)N1CCCC1,0,0,0,11.53,['11.53'],0
221,CC(=NO)SCC(=O)N1CCOCC1,0,0,0,11.45,['11.45'],0
222,CC(=NO)SCCC#N,0,0,0,11.35,['11.35'],0
223,CC(=NO)c1ccc([N+](=O)[O-])cc1,0,0,0,9.84,['9.84'],0
224,CC(=NO)c1cccc([N+](=O)[O-])c1,0,0,0,10.13,['10.13'],0
225,CC(=NO)c1ccccc1,0,0,0,11.17,['11.17'],0
226,CON=C(C)C(=NO)C(=O)N(C)C,0,0,0,9.46,['9.46'],0
227,CC(Nc1ccccc1)=[NH+]c1ccccc1,0,0,0,8.30,['8.30'],0
228,CC(=O)C(C#N)=N[N-]c1cc(Cl)cc(Cl)c1,0,0,0,4.90,['4.90'],0
229,CC(=O)C(C#N)=N[N-]c1cc(C(F)(F)F)ccc1Cl,0,0,0,4.60,['4.60'],0
230,CC(=O)C(C#N)=N[N-]c1ccc(Cl)c(Cl)c1,0,0,0,5.10,['5.10'],0
231,CC(=O)C(C#N)=N[N-]c1ccc(Cl)cc1,0,0,0,5.40,['5.40'],0
232,CC(=O)C(C#N)=N[N-]c1ccc(SC(F)(F)F)cc1,0,0,0,5.55,['5.55'],0
233,CC(=O)C(C#N)=N[N-]c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0,0,0,4.20,['4.20'],0
234,CC(=O)C(C#N)=N[N-]c1ccc2c(c1)OC(F)(F)C(F)(F)O2,0,0,0,4.80,['4.80'],0
235,CC(=O)C(C#N)=N[N-]c1cccc(Cl)c1,0,0,0,5.60,['5.60'],0
236,CC(=O)C(C#N)=N[N-]c1ccccc1Cl,0,0,0,5.55,['5.55'],0
237,CC(=O)C(=NO)C(=O)N(C)C,0,0,0,8.20,['8.20'],0
238,CC(=O)C(CC[NH+]1CCOCC1)(c1ccccc1)c1ccccc1,0,0,0,6.83,['6.83'],0
239,CC(=O)C(C[NH+]1CCCCC1)c1ccccc1,0,0,0,8.80,['8.80'],0
240,CC(=O)C(C[NH+]1CCOCC1)c1ccccc1,0,0,0,6.23,['6.23'],0
241,CC(=O)C1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,0,0,0,4.23,['4.23'],0
242,CC(=O)C1C(=O)c2cccc(Cl)c2C1=O,0,0,0,2.38,['2.38'],0
243,CC(=O)C1C(=O)c2cccc(I)c2C1=O,0,0,0,2.67,['2.67'],0
244,CC(=O)C1C(=O)c2ccccc2C1=O,0,0,0,2.94,['2.94'],0
245,CC(=O)CC(CC(=O)[O-])c1ccccc1,0,0,0,4.50,['4.50'],0
246,CC(=O)CC(c1ccc(Br)cc1)c1c([O-])c2ccccc2oc1=O,0,0,0,5.00,['5.00'],0
247,CC(=O)CC(c1ccc(Cl)cc1)c1c([O-])c2ccccc2oc1=O,0,0,0,4.90,['4.90'],0
248,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c([O-])c2ccccc2oc1=O,0,0,0,4.88,['4.88'],0
249,COc1ccc(C(CC(C)=O)c2c([O-])c3ccccc3oc2=O)cc1,0,0,0,5.10,['5.10'],0
250,CC(=O)CC(c1cccc(Cl)c1)c1c([O-])c2ccccc2oc1=O,0,0,0,5.00,['5.00'],0
251,CC(=O)CC(c1cccc([N+](=O)[O-])c1)c1c([O-])c2ccccc2oc1=O,0,0,0,4.90,['4.90'],0
252,COc1cccc(C(CC(C)=O)c2c([O-])c3ccccc3oc2=O)c1,0,0,0,5.00,['5.00'],0
253,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,0,0,0,5.08,['5.08'],0
254,CC(=O)CC(c1ccccc1Cl)c1c([O-])c2ccccc2oc1=O,0,0,0,5.10,['5.10'],0
255,COc1ccccc1C(CC(C)=O)c1c([O-])c2ccccc2oc1=O,0,0,0,5.20,['5.20'],0
256,CC(=O)CC1=C([O-])C(=O)c2ccccc2C1=O,0,0,0,4.12,['4.12'],0
257,CC(=O)CC1CCCC[NH2+]1,0,0,0,9.45,['9.45'],0
258,CC(=O)CCCCC(=O)[O-],0,0,0,4.72,['4.72'],0
259,CC(=O)CCCC[NH+](C)C,0,0,0,9.62,['9.62'],0
260,CC(=O)CCC[NH+](C)C,0,0,0,9.07,['9.07'],0
261,CC(=O)CNc1ccccc1C(=O)[O-],0,0,0,4.40,['4.40'],0
262,CC(=O)Cn1cc[n+](C)c1C=NO,0,0,0,7.90,['7.90'],0
263,CC(=O)Cn1cc[n+](C(C)(C)C)c1C=NO,0,0,0,7.87,['7.87'],0
264,CC(=O)Cn1cc[n+](Cc2ccccc2)c1C=NO,0,0,0,7.80,['7.80'],0
265,COc1c(N(C)C)cc(Cc2cnc(N)nc2N)cc1N(C)C(C)=O,0,0,0,7.07,['7.07'],0
266,CC(=O)N(C)c1ccccn1,0,0,0,2.01,['2.01'],0
267,CC(=O)N(C)c1cccnc1,0,0,0,3.52,['3.52'],0
268,CC(=O)N(C)c1cc[nH+]cc1,0,0,0,4.62,['4.62'],0
269,CC(=O)N=c1ccccn1C,0,0,0,7.12,['7.12'],0
270,CC(=O)N=c1ccn(C)cc1,0,0,0,11.03,['11.03'],0
271,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,0,0,0,7.30,['7.30'],0
272,CC(=O)N=c1sc(S(N)(=O)=O)nn1Cc1ccccc1,0,0,0,7.40,['7.40'],0
273,CC(=O)NC(Cc1cnc[nH]1)C(=O)[O-],0,0,0,7.08,['7.08'],0
274,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0,0,0,1.75,['1.75'],0
275,CC(=O)NCCC(=O)[O-],0,0,0,4.44,['4.44'],0
276,CC(=O)NNC(=O)c1ccccn1,0,0,0,3.06,['3.06'],0
277,CC(=O)Nc1n[nH]c(NC(C)=O)n1,0,0,0,9.35,['9.35'],0
278,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,0,0,0,3.40,['3.40'],0
279,CC(=O)Nc1ncnc2nccnc12,0,0,0,1.21,['1.21'],0
280,CC(=O)Nc1ccc(O)cc1,0,0,0,9.57,['9.57'],0
281,CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,0,0,0,9.10,['9.10'],0
282,CC(=O)Nc1ccc(OCC(O)C[NH2+]CC(O)COc2ccccc2)cc1,0,0,0,8.05,['8.05'],0
283,CC(=O)Nc1ccc(P(=O)([O-])[O-])cc1,0,0,0,7.10,['7.10'],0
284,CC(=O)Nc1ccc([S-])cc1,0,0,0,6.08,['6.08'],0
285,COc1cc([N-]S(=O)(=O)c2ccc(NC(C)=O)cc2)nc(OC)n1,0,0,0,6.01,['6.01'],0
286,COc1ccc([N-]S(=O)(=O)c2ccc(NC(C)=O)cc2)nn1,0,0,0,6.78,['6.78'],0
287,CC(=O)Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1,0,0,0,6.34,['6.34'],0
288,CC(=O)Nc1ccc2nc(S(N)(=O)=O)sc2c1,0,0,0,7.93,['7.93'],0
289,CC(=O)Nc1cccc(O)c1,0,0,0,9.38,['9.38'],0
290,CC(=O)Nc1ccccc1,0,0,0,0.50,['0.50'],0
