,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source
194,CC(=CC(=S)C(F)(F)C(F)F)Nc1ccccc1,O,0,0,10.52,['10.52'],['pKa_prospector']
195,C[NH2+]C(C)=CC(=S)C(F)(F)F,O,0,0,12.3,['12.30'],['pKa_prospector']
196,CC(=CC(=S)C(F)(F)F)Nc1ccccc1,O,0,0,10.2,['10.20'],['pKa_prospector']
197,COC1C(OC(=O)C=CC=CC=CC=CC(=O)[O-])CCC2(CO2)C1C1(C)OC1CC=C(C)C,O,0,0,4.51,['4.51'],['pKa_prospector']
198,CC(C)=CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,O,0,0,10.75,['10.75'],['pKa_prospector']
199,CC(C)=CCOCn1cc[n+](C)c1C=NO,O,0,0,8.05,['8.05'],['pKa_prospector']
200,CC(C)=CCn1cnc(N)c2ncnc1-2,O,0,0,6,['6.00'],['pKa_prospector']
201,CC(=[NH2+])Nc1ccc(Cl)cc1,O,0,0,9.5,['9.50'],['pKa_prospector']
202,CC(=[NH2+])Nc1ccc(-c2ccccc2)cc1,O,0,0,9.66,['9.66'],['pKa_prospector']
203,CC(C=NNC(N)=[NH2+])=NNC(N)=[NH2+],O,0,0,8.24,['8.24'],['pKa_prospector']
204,CC(=NNC(N)=[NH2+])c1cccs1,O,0,0,8.9,['8.90'],['pKa_prospector']
205,CC(C)=NNC(N)=N[N+](=O)[O-],O,0,0,8.6,['8.60'],['pKa_prospector']
206,CC(=NNC(N)=[NH+]c1ccccc1)c1ccccc1,O,0,0,8.1,['8.10'],['pKa_prospector']
207,CC(=NNc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-])C(F)(F)F,O,0,0,6.93,['6.93'],['pKa_prospector']
208,CC(C)=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O,0,0,6.83,['6.83'],['pKa_prospector']
209,CC(=NO)C(C)(C)CCCCC[NH3+],O,0,0,9.12,['9.12'],['pKa_prospector']
210,CC(=NO)C(C)(C)CCC[NH3+],O,0,0,9.14,['9.14'],['pKa_prospector']
211,CC(=NO)C(C)(C)[N+](=O)[O-],O,0,0,10.66,['10.66'],['pKa_prospector']
212,CSC(C)(C)C(C)=NO,O,0,0,11.72,['11.72'],['pKa_prospector']
213,CC(=NO)C(Cl)Cl,O,0,0,11.14,['11.14'],['pKa_prospector']
214,CC(CSC(C)(C)C)=NO,O,0,0,11.95,['11.95'],['pKa_prospector']
215,C=CCSCC(C)=NO,O,0,0,11.72,['11.72'],['pKa_prospector']
216,CC(=[NH+]O)N1CCCCC1,O,0,0,14.3,['14.30'],['pKa_prospector']
